# Tên cơ sở kinh doanh (không kèm tiền tố loại hình)
Thiên Tân
Hương Quê
Ngọc Sương
Bình Minh
Sông Hàn
Hoàng Long
Phú Quý
Ba Miền
Cô Ba
Chú Tư
Út Lành
Mười Khỏe
Ánh Dương
Hải Đăng
Trúc Xanh
Sen Vàng
Đại Phát
Tân Hưng
Minh Châu
Nam Long
Thanh Bình
Hồng Phát
Quê Hương
Đồng Xanh
Mộc Miên
Gạo Lứt
Bếp Nhà
Góc Phố
Ngã Ba
Bến Thành
Chợ Lớn
Sài Gòn Xưa
Hà Nội Phố
Đất Việt
Vị Quê
Cơm Niêu
Lẩu Nướng 5 Sao
Hải Sản Biển Đông
Bún Bò O Hoa
Phở Thìn
Cây Đa
Vườn Cau
Ao Sen
Nhà Gỗ
Tre Xanh
Bốn Mùa
An Nhiên
Thịnh Vượng
Kim Long
Vạn Phúc
